codice_gruppo,codice_isolato,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
3,270423062,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423063,270425109,5,12,Terraferma,Sardi (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423064,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423065,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423066,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423067,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423068,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423069,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423070,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423071,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423072,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
1,270423073,270425043,1,6,Città d'acqua,Isola Cason Vecchio Di Grassabo',Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
3,270423074,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423075,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423076,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423077,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423078,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423079,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423080,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423081,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423082,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423083,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423084,270425109,5,12,Terraferma,Sardi (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423085,270425109,5,12,Terraferma,Sardi (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423086,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423087,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423088,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
